序號,綠色商店名稱,聯絡地址,商店編號,聯絡人,聯絡電話,分機,手機號碼,綠色商店類型,經度,緯度
16,7-11大安門市,106台北市大安區忠孝東路四段77號(捷運地下街5號店鋪),A000401,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.547329696616,25.041864870601
17,7-11大昇門市,105台北市松山區南京東路5段104號,A000198,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.56189006826,25.051251219144
18,7-11大信門市,106台北市大安區信義路三段33號,A000344,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.534623653411,25.033765018468
19,7-11大埔門市,108台北市萬華區中華路2段34號,A000209,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.504859850511,25.033038642739
20,7-11大眾門市,114台北市內湖區陽光街298號,A000313,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.574644810322,25.072641500771
21,7-11大敦門市,106台北市大安區敦化南路2段63巷24號,A000462,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550384229771,25.030864963788
22,7-11大華門市,108台北市萬華區萬大路495.497號,A000230,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.497845957753,25.020014715856
23,7-11大葉門市,111台北市士林區德行東路109巷81號,A000280,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.528550881635,25.110203152406
24,7-11大運門市,105台北市中山區大直街11號,A000613,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.546523860445,25.080818256867
25,7-11大潤發門市,114台北市內湖區舊宗路128號,A000800,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.5786291,25.0734541
26,7-11大龍門市,103台北市大同區昌吉街72.74.76號,A000570,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515856991297,25.065803963256
27,7-11小巨蛋門市,105台北市松山區南京東路4段2號1樓第10櫃位,A000429,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.549953902862,25.051355573838
28,7-11小福樓門市,106台北市大安區羅斯福路4段1號2樓(台灣大學小福樓),A000470,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.533700638234,25.01698105364
29,7-11中坡門市,115台北市南港區中坡南路15號,A000308,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.582965441785,25.043453408891
30,7-11中航門市,100台北市中正區林森南路12號,A000262,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522593694517,25.042659014018
31,7-11中崙門市,105台北市松山區八德路3段27號,A000582,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.552756811284,25.048312733438
32,7-11中陽門市,112台北市北投區中央北路3段2號,A000258,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.486689979903,25.138414336899
33,7-11中愛門市,100台北市中正區愛國東路102號,A000535,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.520572536888,25.033122057842
34,7-11中寧門市,108台北市萬華區中華路2段6(02)1-2號一樓,A000615,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.505512130216,25.034024145004
35,7-11中福門市,104台北市中山區民生東路2段113號.,A000214,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531556212125,25.058106316746
36,7-11中廣門市,106台北市大安區仁愛路三段25-1.27號,A000755,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.53436666426,25.038583732694
37,7-11中影門市,111台北市士林區至善路二段34號,A000446,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.544781765689,25.097113053825
38,7-11中樂門市,100台北市中正區延平南路47號,A000195,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.510509337071,25.044977406526
39,7-11中興門市,110台北市信義區基隆路2段22號,A000847,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.558728246744,25.031936296742
40,7-11中興醫門市,103台北市大同區鄭州路145號B1,A000645,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.508887354987,25.050692439569
41,7-11中錦門市,104台北市中山區中山北路二段98號,A000483,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522706934029,25.059882651577
42,7-11丹陽門市,100台北市中正區杭州南路一段83號,A000890,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.525527612085,25.039080360457
43,7-11丹樺門市,111台北市士林區文林路530號,A000320,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.524101850355,25.097267113206
44,7-11仁安門市,106台北市大安區仁愛路四段27巷1號,A000789,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.545277806719,25.038765913359
45,7-11仁和門市,110台北市信義區正和里光復南路419巷41號,A000525,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.558480058591,25.036588085367
46,7-11仁金門市,100台北市中正區仁愛路二段39.39-1號,A000855,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.528626736965,25.038442455716
47,7-11元大門市,104台北市中山區復興北路148號,A000788,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.543851485272,25.052170695346
48,7-11六福門市,108台北市萬華區漢口街二段56號,A000279,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.505474244014,25.045905367027
49,7-11公館門市,112台北市北投區公館路31號,A000436,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.503135776847,25.13306861051
50,7-11友成門市,111台北市士林區社中街214號,A000619,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.508465409981,25.091192035513
51,7-11天北門市,111台北市士林區天母北路12號,A000865,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526235966723,25.11943163123
52,7-11天成門市,111台北市士林區忠誠路二段168號1樓,A000840,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.533157239451,25.115675826145
53,7-11天東門市,111台北市士林區中山北路7段14巷2-1號,A000196,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531067295713,25.118563685156
54,7-11天津門市,104台北市中山區天津街65號,A000687,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523547722736,25.051710295981
55,7-11天美門市,111台北市士林區天母東路8巷98號,A000797,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.530090034544,25.114246839558
56,7-11天真門市,111台北市士林區中山北路7段126號,A000637,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.532056947021,25.122473214344
57,7-11天麥門市,111台北市士林區天母西路5巷6號,A000518,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.528934399293,25.119065314944
58,7-11天富門市,112台北市北投區富貴一路3號1樓,A000828,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523798090184,25.113715634269
59,7-11天越門市,111台北市士林區天母東路50巷25號,A000793,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531822756646,25.118185451775
60,7-11天裕門市,111台北市士林區中山北路七段156號1樓,A000815,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.532642003862,25.123965905571
61,7-11天福門市,111台北市士林區天母東路8巷31弄2號,A000750,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531934830047,25.116787997747
62,7-11天樂門市,111台北市士林區天利里天母東路109號一樓,A000677,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.536878050089,25.118385695442
63,7-11天鑫門市,111台北市士林區天玉街8號,A000627,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526926803182,25.119758735001
64,7-11太學門市,111台北市士林區華岡路47巷1號,A000704,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.54174399634,25.137750783534
65,7-11文一門市,116台北市文山區木新路三段327號,A000711,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.556316773201,24.980485618571
66,7-11文大門市,111台北市士林區格致路57號,A000420,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.546263434713,25.137890174583
67,7-11文山門市,116台北市文山區木新路二段42號,A000316,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.570547484593,24.986440583592
68,7-11文忠門市,116台北市文山區忠順街二段16號,A000688,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.562603032944,24.984552601811
69,7-11文林門市,111台北市士林區文林路169號,A000240,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526767211746,25.089460753412
70,7-11文新門市,116台北市文山區樟新里木新路三段276號,A000622,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.558121313135,24.981213503043
71,7-11文儀門市,116台北市文山區木新路三段54.56號,A000601,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.564079924284,24.982579837079
72,7-11日內瓦門市,114台北市內湖區瑞光路76巷59號1樓,A000864,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.580304355165,25.070148722767
73,7-11木柵門市,116台北市文山區木柵路2段157號,A000257,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.562917521951,24.989107327996
74,7-11木盛門市,116台北市文山區木柵路三段88號,A000263,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.566977967307,24.988535807928
75,7-11木新門市,116台北市文山區木新路2段255號,A000235,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.566656772777,24.983141676049
76,7-11世新大門市,116台北市文山區木柵路1段17巷1號,A000636,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.544098808218,24.988624195097
77,7-11世運門市,108台北市萬華區昆明街81.83號,A000769,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.504856581569,25.042785748394
78,7-11仕吉門市,106台北市大安區忠孝東路4段223巷42號,A000819,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.553110024684,25.043542843798
79,7-11仙岩門市,116台北市文山區仙岩路18號,A000632,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.548521100333,24.998562114778
80,7-11冬樂門市,111台北市士林區美崙街112號一樓,A000625,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.519717276804,25.097098636952
81,7-11北投門市,112台北市北投區中和街222號,A000427,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.50184655632,25.13909373206
82,7-11北府門市,110台北市信義區松仁路160號,A000550,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.568210190892,25.02843911528
83,7-11北科大門市,106台北市大安區忠孝東路3段1號(台北科技大學大川堂),A000477,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.5355145659,25.042213893049
84,7-11北高鐵門市,100台北市中正區北平西路3號B1,A000888,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517057698926,25.04717593782
85,7-11北榮門市,112台北市北投區石牌路二段201號(榮民總醫院生活廣場),A000741,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.519165831394,25.11918226961
86,7-11北福興門市,116台北市文山區興旺里福興路20號,A000448,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.551357871644,25.002843381373
87,7-11北醫大門市,110台北市信義區吳興街250號1樓,A000846,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.562710824219,25.026619613649
88,7-11北醫門市,110台北市信義區吳興街252號,A000823,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.563637778891,25.026638011926
89,7-11北體門市,105台北市松山區北寧路66號,A000747,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.552830236756,25.050879817014
90,7-11仟發門市,103台北市大同區民生西路95.97號,A000438,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.519261888005,25.057605456122
91,7-11古亭門市,106台北市中正區汀州路2段216號,A000233,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523808148468,25.022284535236
92,7-11台大門市,100台北市中正區林森南路53.55號,A000774,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522119697892,25.04018903479
93,7-11台大醫門市,100台北市中正區常德街1號,A000583,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517171525172,25.04140013598
94,7-11台北1門市,100台北市中正區北平西路3號(東南站),A000604,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517057698926,25.04717593782
95,7-11台北2門市,100台北市中正區北平西路3號(西南站),A000874,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517057698926,25.04717593782
96,7-11台北3門市,100台北市中正區北平西路3號(西北站),A000663,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517057698926,25.04717593782
97,7-11台北4門市,100台北市中正區北平西路3號(東北站),A000576,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517057698926,25.04717593782
98,7-11台北五門市,100台北市中正區北平西路3號,A000772,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517057698926,25.04717593782
99,7-11台北六門市,100台北市中正區北平西路3號,A000639,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517057698926,25.04717593782
100,7-11台金門市,110台北市信義區松智路8號,A000358,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.565271659336,25.034478203122
101,7-11台科三門市,106台北市大安區基隆路四段43號第三餐廳,A000681,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.540623838799,25.013742998714
102,7-11市大門市,105台北市松山區市民大道路四段105號,A000499,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.582976086802,25.039964693151
103,7-11民北門市,105台北市松山區民生東路3段127巷6號,A000402,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.547407983591,25.058544187368
104,7-11民有門市,105台北市松山區民權東路3段108號,A000612,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.545044286896,25.061884082417
105,7-11民東門市,114台北市內湖區民權東路6段88號,A000379,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.585839512565,25.068773126727
106,7-11民美門市,104台北市中山區圓山里中山北路3段57號,A000643,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523064003104,25.068279893635
107,7-11民復門市,105台北市松山區民生東路四段130號,A000667,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.555081699768,25.058120188796
108,7-11永信門市,110台北市信義區永吉路30巷103號,A000752,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.568876384557,25.043478051686
109,7-11永康門市,106台北市大安區永康街43號,A000202,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.529586129603,25.030408862527
110,7-11汀州門市,100台北市中正區汀州路一段129號,A000250,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.509561427641,25.028010967666
111,7-11玉成門市,115台北市南港區南港路3段3號,A000498,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.592161563035,25.054043566368
112,7-11玉德門市,115台北市南港區玉成街154號,A000190,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.583807739235,25.045038175324
113,7-11石捷門市,112台北市北投區石牌路二段8號,A000467,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515503191164,25.11535601463
114,7-11禾光門市,106台北市大安區和平東路2段63號1樓,A000743,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.538535655261,25.025734149397
115,7-11立仁門市,106台北市大安區安和路二段74巷1號,A000287,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.551634222992,25.030228442061
116,7-11立農門市,112台北市北投區承德路7段378號,A000353,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.502831513762,25.11872520443
117,7-11伊東門市,104台北市中山區伊通街50號,A000618,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.534683751657,25.051343503898
118,7-11光中門市,112台北市北投區光明路122號,A000442,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.501838342055,25.133295969634
119,7-11光明門市,112台北市北投區光明路162.164號,A000189,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.502605118557,25.13491774217
120,7-11光東門市,110台北市信義區忠孝東路五段524巷1弄1號,A000192,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.579516707724,25.041217117124
121,7-11光復門市,110台北市信義區光復南路471號,A000729,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.557668606545,25.033721851666
122,7-11吉仁門市,105台北市松山區延吉街28號,A000330,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.553479415157,25.046289886835
123,7-11吉安門市,104台北市中山區吉林路365.367號,A000417,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.53048408289,25.064959193144
124,7-11吉忠門市,106台北市大安區延吉街72號,A000504,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.554110656285,25.04253332738
125,7-11吉林門市,104台北市中山區吉林路211號,A000780,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.530368244988,25.060305309044
126,7-11吉盛門市,105台北市松山區南京東路5段66巷3弄1號1樓,A000839,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.560953809675,25.050953074848
127,7-11同昌門市,106台北市中正區南昌路2段173號,A000502,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522752105013,25.025533334897
128,7-11合江門市,104台北市中山區合江街60號,A000400,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.539038066538,25.055852716349
129,7-11合旺門市,106台北市大安區復興南路2段151巷41號,A000563,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.54534603541,25.028456214363
130,7-11安遠門市,112台北市北投區致遠二路149號,A000567,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.512927180861,25.117477013319
131,7-11成功門市,114台北市內湖區成功路二段252號,A000179,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.590353335063,25.066158978765
132,7-11成美門市,114台北市內湖區新明路317號,A000339,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.58464961759,25.056874596075
133,7-11成都門市,108台北市萬華區成都路94號,A000283,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.504464057043,25.043021112235
134,7-11成湖門市,114台北市內湖區成功路四段346號,A000614,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.599664456025,25.08509700889
135,7-11江東門市,104台北市中山區長安東路2段35-1號,A000303,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531563252924,25.048581918258
136,7-11江陵門市,104台北市中山區一江街22號,A000479,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531414977057,25.052680040269
137,7-11百齡門市,111台北市北投區石牌路一段35號,A000296,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.510127709019,25.113145329577
138,7-11至善天下門市,111台北市士林區至善路二段264號,A000588,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550962748728,25.100394317461
139,7-11至誠門市,112台北市士林區至誠路二段31號,A000449,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.529354453799,25.10177003923
140,7-11行天門市,104台北市中山區農安街178號,A000383,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.534818281203,25.064565117967
141,7-11行義門市,112台北市北投區行義路33號,A000444,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526910709928,25.125356840494
142,7-11行龍門市,114台北市內湖區行愛路128號,A000340,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.580050132042,25.063839831885
143,7-11西安門市,112台北市北投區大興街48號,A000454,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.499485122738,25.130107284118
144,7-11西武門市,114台北市內湖區內湖路一段285巷65弄2號,A000458,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.567023313403,25.084599417208
145,7-11西湖門市,114台北市內湖區內湖路一段321號,A000655,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.567906430721,25.082319707182
146,7-11庄研門市,115台北市南港區研究院路二段152號,A000606,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.616870491587,25.038366096578
147,7-11佑安門市,106台北市大安區忠孝東路三段217巷1弄2號,A000676,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.539599989326,25.04240256969
148,7-11克里斯門市,114台北市內湖區五分街41號1F,A000300,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.61371227429,25.067570784626
149,7-11克難門市,108台北市萬華區萬青街168號,A000539,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.501468783944,25.023519021936
150,7-11吳興門市,110台北市信義區吳興街284巷18弄2號,A000234,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.563507859392,25.024637880281
151,7-11宏旭門市,108台北市萬華區西園路一段246號,A000337,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.498702672077,25.034617835206
152,7-11宏泰門市,110台北市信義區松仁路91-1號1樓,A000775,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.568896165848,25.036904544121
153,7-11技安門市,106台北市大安區和平東路3段97號,A000501,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550778849773,25.024612944119
154,7-11秀山門市,112台北市北投區中和街476.478號,A000895,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.495171208631,25.145283893284
155,7-11育商門市,105台北市松山區八德路三段155巷2號,A000569,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.55514992846,25.04840778422
156,7-11見晴門市,114台北市內湖區瑞光路196號,A000266,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.577066593607,25.074871841387
157,7-11辛亥門市,106台北市大安區辛亥路2段57號,A000268,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.53708055687,25.023068159364
158,7-11京育門市,105台北市松山區南京東路四段70號,A000325,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.55413705928,25.051432729257
159,7-11京都門市,104台北市中山區林森北路411號,A000481,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.525685275684,25.05969799825
160,7-11佳佳門市,104台北市中山區民生東路二段157號,A000813,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.535932319954,25.058115830206
161,7-11佳樂門市,115台北市南港區南港路一段305號,A000298,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.607696163285,25.054425613514
162,7-11和安門市,106台北市大安區和平東路三段230號,A000319,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.554645086431,25.022137265197
163,7-11和金門市,106台北市大安區和平東路1段91號,A000289,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.525709247927,25.027012641089
164,7-11和泰門市,106台北市大安區和平東路一段169號,A000430,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531789312852,25.02653118457
165,7-11和業門市,112台北市北投區中和街10號,A000666,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.503444649979,25.137561729708
166,7-11奇岩門市,112台北市北投區崇仁路一段76號,A000231,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.501473058714,25.126223026368
167,7-11官邸門市,111台北市士林區中正路115號,A000200,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.52855624516,25.095668851908
168,7-11延吉門市,106台北市大安區延吉街237號,A000760,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.555692069957,25.036603969073
169,7-11延年門市,103台北市大同區延平北路3段61-5號,A000187,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.511137979809,25.065824834195
170,7-11延埕門市,103台北市大同區延平北路2段159.161號.,A000527,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.51159579936,25.058262387783
171,7-11延華門市,103台北市大同區延平北路一段78.80號,A000781,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.511786571477,25.051819554089
172,7-11延壽門市,105台北市松山區延壽街422號,A000443,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.556446441243,25.056222567827
173,7-11延龍門市,103台北市大同區延平北路4段6.8號,A000423,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.510775881592,25.068849276318
174,7-11征東門市,105台北市松山區新東街15巷1號,A000566,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.565859318509,25.058521723868
175,7-11征唐門市,105台北市松山區民生東路五段197號,A000447,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.566091581046,25.059219517307
176,7-11忠順門市,116台北市文山區忠順街一段101號,A000494,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.559150024112,24.984169297379
177,7-11忠聯門市,100台北市中正區忠孝東路二段102號,A000224,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.530580977691,25.042734618784
178,7-11承啟門市,112台北市北投區福興里承德路七段76號,A000349,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.506059831468,25.115142419445
179,7-11承富門市,111台北市士林區承德路四段39號,A000568,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522891335899,25.081098128614
180,7-11承華門市,103台北市大同區承德路一段22號,A000651,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.516689314282,25.050437587803
181,7-11承運門市,104台北市中山區南京西路16號捷運中山站B1區,A000404,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.520331837945,25.052504816583
182,7-11昌吉門市,103台北市大同區承德路3段74號.,A000628,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.518125469572,25.065949724552
183,7-11昌隆門市,110台北市信義區基隆路二段131-4號,A000238,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.556748692671,25.028024923535
