序號,綠色商店名稱,聯絡地址,商店編號,聯絡人,聯絡電話,分機,手機號碼,綠色商店類型
54,7-11天津門市,104台北市中山區天津街65號,A000687,廖培雁,(02)27478711,3961,,連鎖型綠色商店
55,7-11天美門市,111台北市士林區天母東路8巷98號,A000797,廖培雁,(02)27478711,3961,,連鎖型綠色商店
56,7-11天真門市,111台北市士林區中山北路7段126號,A000637,廖培雁,(02)27478711,3961,,連鎖型綠色商店
57,7-11天麥門市,111台北市士林區天母西路5巷6號,A000518,廖培雁,(02)27478711,3961,,連鎖型綠色商店
58,7-11天富門市,112台北市北投區富貴一路3號1樓,A000828,廖培雁,(02)27478711,3961,,連鎖型綠色商店
59,7-11天越門市,111台北市士林區天母東路50巷25號,A000793,廖培雁,(02)27478711,3961,,連鎖型綠色商店
60,7-11天裕門市,111台北市士林區中山北路七段156號1樓,A000815,廖培雁,(02)27478711,3961,,連鎖型綠色商店
61,7-11天福門市,111台北市士林區天母東路8巷31弄2號,A000750,廖培雁,(02)27478711,3961,,連鎖型綠色商店
62,7-11天樂門市,111台北市士林區天利里天母東路109號一樓,A000677,廖培雁,(02)27478711,3961,,連鎖型綠色商店
63,7-11天鑫門市,111台北市士林區天玉街8號,A000627,廖培雁,(02)27478711,3961,,連鎖型綠色商店
64,7-11太學門市,111台北市士林區華岡路47巷1號,A000704,廖培雁,(02)27478711,3961,,連鎖型綠色商店
65,7-11文一門市,116台北市文山區木新路三段327號,A000711,廖培雁,(02)27478711,3961,,連鎖型綠色商店
66,7-11文大門市,111台北市士林區格致路57號,A000420,廖培雁,(02)27478711,3961,,連鎖型綠色商店
67,7-11文山門市,116台北市文山區木新路二段42號,A000316,廖培雁,(02)27478711,3961,,連鎖型綠色商店
68,7-11文忠門市,116台北市文山區忠順街二段16號,A000688,廖培雁,(02)27478711,3961,,連鎖型綠色商店
69,7-11文林門市,111台北市士林區文林路169號,A000240,廖培雁,(02)27478711,3961,,連鎖型綠色商店
70,7-11文新門市,116台北市文山區樟新里木新路三段276號,A000622,廖培雁,(02)27478711,3961,,連鎖型綠色商店
71,7-11文儀門市,116台北市文山區木新路三段54.56號,A000601,廖培雁,(02)27478711,3961,,連鎖型綠色商店
72,7-11日內瓦門市,114台北市內湖區瑞光路76巷59號1樓,A000864,廖培雁,(02)27478711,3961,,連鎖型綠色商店
73,7-11木柵門市,116台北市文山區木柵路2段157號,A000257,廖培雁,(02)27478711,3961,,連鎖型綠色商店
74,7-11木盛門市,116台北市文山區木柵路三段88號,A000263,廖培雁,(02)27478711,3961,,連鎖型綠色商店
75,7-11木新門市,116台北市文山區木新路2段255號,A000235,廖培雁,(02)27478711,3961,,連鎖型綠色商店
76,7-11世新大門市,116台北市文山區木柵路1段17巷1號,A000636,廖培雁,(02)27478711,3961,,連鎖型綠色商店
77,7-11世運門市,108台北市萬華區昆明街81.83號,A000769,廖培雁,(02)27478711,3961,,連鎖型綠色商店
78,7-11仕吉門市,106台北市大安區忠孝東路4段223巷42號,A000819,廖培雁,(02)27478711,3961,,連鎖型綠色商店
79,7-11仙岩門市,116台北市文山區仙岩路18號,A000632,廖培雁,(02)27478711,3961,,連鎖型綠色商店
80,7-11冬樂門市,111台北市士林區美崙街112號一樓,A000625,廖培雁,(02)27478711,3961,,連鎖型綠色商店
81,7-11北投門市,112台北市北投區中和街222號,A000427,廖培雁,(02)27478711,3961,,連鎖型綠色商店
82,7-11北府門市,110台北市信義區松仁路160號,A000550,廖培雁,(02)27478711,3961,,連鎖型綠色商店
83,7-11北科大門市,106台北市大安區忠孝東路3段1號(台北科技大學大川堂),A000477,廖培雁,(02)27478711,3961,,連鎖型綠色商店
84,7-11北高鐵門市,100台北市中正區北平西路3號B1,A000888,廖培雁,(02)27478711,3961,,連鎖型綠色商店
85,7-11北榮門市,112台北市北投區石牌路二段201號(榮民總醫院生活廣場),A000741,廖培雁,(02)27478711,3961,,連鎖型綠色商店
86,7-11北福興門市,116台北市文山區興旺里福興路20號,A000448,廖培雁,(02)27478711,3961,,連鎖型綠色商店
87,7-11北醫大門市,110台北市信義區吳興街250號1樓,A000846,廖培雁,(02)27478711,3961,,連鎖型綠色商店
88,7-11北醫門市,110台北市信義區吳興街252號,A000823,廖培雁,(02)27478711,3961,,連鎖型綠色商店
89,7-11北體門市,105台北市松山區北寧路66號,A000747,廖培雁,(02)27478711,3961,,連鎖型綠色商店
90,7-11仟發門市,103台北市大同區民生西路95.97號,A000438,廖培雁,(02)27478711,3961,,連鎖型綠色商店
91,7-11古亭門市,106台北市中正區汀州路2段216號,A000233,廖培雁,(02)27478711,3961,,連鎖型綠色商店
92,7-11台大門市,100台北市中正區林森南路53.55號,A000774,廖培雁,(02)27478711,3961,,連鎖型綠色商店
93,7-11台大醫門市,100台北市中正區常德街1號,A000583,廖培雁,(02)27478711,3961,,連鎖型綠色商店
94,7-11台北1門市,100台北市中正區北平西路3號(東南站),A000604,廖培雁,(02)27478711,3961,,連鎖型綠色商店
95,7-11台北2門市,100台北市中正區北平西路3號(西南站),A000874,廖培雁,(02)27478711,3961,,連鎖型綠色商店
96,7-11台北3門市,100台北市中正區北平西路3號(西北站),A000663,廖培雁,(02)27478711,3961,,連鎖型綠色商店
97,7-11台北4門市,100台北市中正區北平西路3號(東北站),A000576,廖培雁,(02)27478711,3961,,連鎖型綠色商店
98,7-11台北五門市,100台北市中正區北平西路3號,A000772,廖培雁,(02)27478711,3961,,連鎖型綠色商店
99,7-11台北六門市,100台北市中正區北平西路3號,A000639,廖培雁,(02)27478711,3961,,連鎖型綠色商店
100,7-11台金門市,110台北市信義區松智路8號,A000358,廖培雁,(02)27478711,3961,,連鎖型綠色商店
101,7-11台科三門市,106台北市大安區基隆路四段43號第三餐廳,A000681,廖培雁,(02)27478711,3961,,連鎖型綠色商店
102,7-11市大門市,105台北市松山區市民大道路四段105號,A000499,廖培雁,(02)27478711,3961,,連鎖型綠色商店
103,7-11民北門市,105台北市松山區民生東路3段127巷6號,A000402,廖培雁,(02)27478711,3961,,連鎖型綠色商店
104,7-11民有門市,105台北市松山區民權東路3段108號,A000612,廖培雁,(02)27478711,3961,,連鎖型綠色商店
105,7-11民東門市,114台北市內湖區民權東路6段88號,A000379,廖培雁,(02)27478711,3961,,連鎖型綠色商店
106,7-11民美門市,104台北市中山區圓山里中山北路3段57號,A000643,廖培雁,(02)27478711,3961,,連鎖型綠色商店
107,7-11民復門市,105台北市松山區民生東路四段130號,A000667,廖培雁,(02)27478711,3961,,連鎖型綠色商店
108,7-11永信門市,110台北市信義區永吉路30巷103號,A000752,廖培雁,(02)27478711,3961,,連鎖型綠色商店
109,7-11永康門市,106台北市大安區永康街43號,A000202,廖培雁,(02)27478711,3961,,連鎖型綠色商店
110,7-11汀州門市,100台北市中正區汀州路一段129號,A000250,廖培雁,(02)27478711,3961,,連鎖型綠色商店
111,7-11玉成門市,115台北市南港區南港路3段3號,A000498,廖培雁,(02)27478711,3961,,連鎖型綠色商店
112,7-11玉德門市,115台北市南港區玉成街154號,A000190,廖培雁,(02)27478711,3961,,連鎖型綠色商店
113,7-11石捷門市,112台北市北投區石牌路二段8號,A000467,廖培雁,(02)27478711,3961,,連鎖型綠色商店
114,7-11禾光門市,106台北市大安區和平東路2段63號1樓,A000743,廖培雁,(02)27478711,3961,,連鎖型綠色商店
115,7-11立仁門市,106台北市大安區安和路二段74巷1號,A000287,廖培雁,(02)27478711,3961,,連鎖型綠色商店
116,7-11立農門市,112台北市北投區承德路7段378號,A000353,廖培雁,(02)27478711,3961,,連鎖型綠色商店
117,7-11伊東門市,104台北市中山區伊通街50號,A000618,廖培雁,(02)27478711,3961,,連鎖型綠色商店
118,7-11光中門市,112台北市北投區光明路122號,A000442,廖培雁,(02)27478711,3961,,連鎖型綠色商店
119,7-11光明門市,112台北市北投區光明路162.164號,A000189,廖培雁,(02)27478711,3961,,連鎖型綠色商店
120,7-11光東門市,110台北市信義區忠孝東路五段524巷1弄1號,A000192,廖培雁,(02)27478711,3961,,連鎖型綠色商店
121,7-11光復門市,110台北市信義區光復南路471號,A000729,廖培雁,(02)27478711,3961,,連鎖型綠色商店
122,7-11吉仁門市,105台北市松山區延吉街28號,A000330,廖培雁,(02)27478711,3961,,連鎖型綠色商店
123,7-11吉安門市,104台北市中山區吉林路365.367號,A000417,廖培雁,(02)27478711,3961,,連鎖型綠色商店
124,7-11吉忠門市,106台北市大安區延吉街72號,A000504,廖培雁,(02)27478711,3961,,連鎖型綠色商店
125,7-11吉林門市,104台北市中山區吉林路211號,A000780,廖培雁,(02)27478711,3961,,連鎖型綠色商店
126,7-11吉盛門市,105台北市松山區南京東路5段66巷3弄1號1樓,A000839,廖培雁,(02)27478711,3961,,連鎖型綠色商店
127,7-11同昌門市,106台北市中正區南昌路2段173號,A000502,廖培雁,(02)27478711,3961,,連鎖型綠色商店
128,7-11合江門市,104台北市中山區合江街60號,A000400,廖培雁,(02)27478711,3961,,連鎖型綠色商店
129,7-11合旺門市,106台北市大安區復興南路2段151巷41號,A000563,廖培雁,(02)27478711,3961,,連鎖型綠色商店
130,7-11安遠門市,112台北市北投區致遠二路149號,A000567,廖培雁,(02)27478711,3961,,連鎖型綠色商店
131,7-11成功門市,114台北市內湖區成功路二段252號,A000179,廖培雁,(02)27478711,3961,,連鎖型綠色商店
132,7-11成美門市,114台北市內湖區新明路317號,A000339,廖培雁,(02)27478711,3961,,連鎖型綠色商店
133,7-11成都門市,108台北市萬華區成都路94號,A000283,廖培雁,(02)27478711,3961,,連鎖型綠色商店
134,7-11成湖門市,114台北市內湖區成功路四段346號,A000614,廖培雁,(02)27478711,3961,,連鎖型綠色商店
135,7-11江東門市,104台北市中山區長安東路2段35-1號,A000303,廖培雁,(02)27478711,3961,,連鎖型綠色商店
136,7-11江陵門市,104台北市中山區一江街22號,A000479,廖培雁,(02)27478711,3961,,連鎖型綠色商店
137,7-11百齡門市,111台北市北投區石牌路一段35號,A000296,廖培雁,(02)27478711,3961,,連鎖型綠色商店
138,7-11至善天下門市,111台北市士林區至善路二段264號,A000588,廖培雁,(02)27478711,3961,,連鎖型綠色商店
139,7-11至誠門市,112台北市士林區至誠路二段31號,A000449,廖培雁,(02)27478711,3961,,連鎖型綠色商店
140,7-11行天門市,104台北市中山區農安街178號,A000383,廖培雁,(02)27478711,3961,,連鎖型綠色商店
141,7-11行義門市,112台北市北投區行義路33號,A000444,廖培雁,(02)27478711,3961,,連鎖型綠色商店
142,7-11行龍門市,114台北市內湖區行愛路128號,A000340,廖培雁,(02)27478711,3961,,連鎖型綠色商店
143,7-11西安門市,112台北市北投區大興街48號,A000454,廖培雁,(02)27478711,3961,,連鎖型綠色商店
144,7-11西武門市,114台北市內湖區內湖路一段285巷65弄2號,A000458,廖培雁,(02)27478711,3961,,連鎖型綠色商店
145,7-11西湖門市,114台北市內湖區內湖路一段321號,A000655,廖培雁,(02)27478711,3961,,連鎖型綠色商店
146,7-11庄研門市,115台北市南港區研究院路二段152號,A000606,廖培雁,(02)27478711,3961,,連鎖型綠色商店
147,7-11佑安門市,106台北市大安區忠孝東路三段217巷1弄2號,A000676,廖培雁,(02)27478711,3961,,連鎖型綠色商店
148,7-11克里斯門市,114台北市內湖區五分街41號1F,A000300,廖培雁,(02)27478711,3961,,連鎖型綠色商店
149,7-11克難門市,108台北市萬華區萬青街168號,A000539,廖培雁,(02)27478711,3961,,連鎖型綠色商店
150,7-11吳興門市,110台北市信義區吳興街284巷18弄2號,A000234,廖培雁,(02)27478711,3961,,連鎖型綠色商店
151,7-11宏旭門市,108台北市萬華區西園路一段246號,A000337,廖培雁,(02)27478711,3961,,連鎖型綠色商店
152,7-11宏泰門市,110台北市信義區松仁路91-1號1樓,A000775,廖培雁,(02)27478711,3961,,連鎖型綠色商店
153,7-11技安門市,106台北市大安區和平東路3段97號,A000501,廖培雁,(02)27478711,3961,,連鎖型綠色商店
154,7-11秀山門市,112台北市北投區中和街476.478號,A000895,廖培雁,(02)27478711,3961,,連鎖型綠色商店
155,7-11育商門市,105台北市松山區八德路三段155巷2號,A000569,廖培雁,(02)27478711,3961,,連鎖型綠色商店
156,7-11見晴門市,114台北市內湖區瑞光路196號,A000266,廖培雁,(02)27478711,3961,,連鎖型綠色商店
157,7-11辛亥門市,106台北市大安區辛亥路2段57號,A000268,廖培雁,(02)27478711,3961,,連鎖型綠色商店
158,7-11京育門市,105台北市松山區南京東路四段70號,A000325,廖培雁,(02)27478711,3961,,連鎖型綠色商店
159,7-11京都門市,104台北市中山區林森北路411號,A000481,廖培雁,(02)27478711,3961,,連鎖型綠色商店
160,7-11佳佳門市,104台北市中山區民生東路二段157號,A000813,廖培雁,(02)27478711,3961,,連鎖型綠色商店
161,7-11佳樂門市,115台北市南港區南港路一段305號,A000298,廖培雁,(02)27478711,3961,,連鎖型綠色商店
162,7-11和安門市,106台北市大安區和平東路三段230號,A000319,廖培雁,(02)27478711,3961,,連鎖型綠色商店
163,7-11和金門市,106台北市大安區和平東路1段91號,A000289,廖培雁,(02)27478711,3961,,連鎖型綠色商店
164,7-11和泰門市,106台北市大安區和平東路一段169號,A000430,廖培雁,(02)27478711,3961,,連鎖型綠色商店
165,7-11和業門市,112台北市北投區中和街10號,A000666,廖培雁,(02)27478711,3961,,連鎖型綠色商店
166,7-11奇岩門市,112台北市北投區崇仁路一段76號,A000231,廖培雁,(02)27478711,3961,,連鎖型綠色商店
167,7-11官邸門市,111台北市士林區中正路115號,A000200,廖培雁,(02)27478711,3961,,連鎖型綠色商店
168,7-11延吉門市,106台北市大安區延吉街237號,A000760,廖培雁,(02)27478711,3961,,連鎖型綠色商店
169,7-11延年門市,103台北市大同區延平北路3段61-5號,A000187,廖培雁,(02)27478711,3961,,連鎖型綠色商店
170,7-11延埕門市,103台北市大同區延平北路2段159.161號.,A000527,廖培雁,(02)27478711,3961,,連鎖型綠色商店
171,7-11延華門市,103台北市大同區延平北路一段78.80號,A000781,廖培雁,(02)27478711,3961,,連鎖型綠色商店
172,7-11延壽門市,105台北市松山區延壽街422號,A000443,廖培雁,(02)27478711,3961,,連鎖型綠色商店
173,7-11延龍門市,103台北市大同區延平北路4段6.8號,A000423,廖培雁,(02)27478711,3961,,連鎖型綠色商店
174,7-11征東門市,105台北市松山區新東街15巷1號,A000566,廖培雁,(02)27478711,3961,,連鎖型綠色商店
175,7-11征唐門市,105台北市松山區民生東路五段197號,A000447,廖培雁,(02)27478711,3961,,連鎖型綠色商店
176,7-11忠順門市,116台北市文山區忠順街一段101號,A000494,廖培雁,(02)27478711,3961,,連鎖型綠色商店
177,7-11忠聯門市,100台北市中正區忠孝東路二段102號,A000224,廖培雁,(02)27478711,3961,,連鎖型綠色商店
178,7-11承啟門市,112台北市北投區福興里承德路七段76號,A000349,廖培雁,(02)27478711,3961,,連鎖型綠色商店
179,7-11承富門市,111台北市士林區承德路四段39號,A000568,廖培雁,(02)27478711,3961,,連鎖型綠色商店
180,7-11承華門市,103台北市大同區承德路一段22號,A000651,廖培雁,(02)27478711,3961,,連鎖型綠色商店
181,7-11承運門市,104台北市中山區南京西路16號捷運中山站B1區,A000404,廖培雁,(02)27478711,3961,,連鎖型綠色商店
182,7-11昌吉門市,103台北市大同區承德路3段74號.,A000628,廖培雁,(02)27478711,3961,,連鎖型綠色商店
183,7-11昌隆門市,110台北市信義區基隆路二段131-4號,A000238,廖培雁,(02)27478711,3961,,連鎖型綠色商店
184,7-11昆陽門市,115台北市南港區忠孝東路6段448號,A000274,廖培雁,(02)27478711,3961,,連鎖型綠色商店
185,7-11昆寧門市,108台北市萬華區西寧南路50巷3號.5號,A000773,廖培雁,(02)27478711,3961,,連鎖型綠色商店
186,7-11昆福門市,108台北市萬華區昆明街46號,A000288,廖培雁,(02)27478711,3961,,連鎖型綠色商店
187,7-11明湖門市,114台北市內湖區東湖路45號,A000318,廖培雁,(02)27478711,3961,,連鎖型綠色商店
188,7-11明華門市,112台北市北投區明德路99號,A000648,廖培雁,(02)27478711,3961,,連鎖型綠色商店
189,7-11明德門市,112台北市北投區明德路114號,A000514,廖培雁,(02)27478711,3961,,連鎖型綠色商店
190,7-11東王門市,104台北市中山區南京東路一段92號,A000857,廖培雁,(02)27478711,3961,,連鎖型綠色商店
191,7-11東光門市,105台北市松山區南京東路5段17號,A000776,廖培雁,(02)27478711,3961,,連鎖型綠色商店
192,7-11東吉門市,105台北市松山區民生東路5段117號,A000232,廖培雁,(02)27478711,3961,,連鎖型綠色商店
193,7-11東洋門市,111台北市士林區中山北路7段14巷19號Ｂ1,A000506,廖培雁,(02)27478711,3961,,連鎖型綠色商店
194,7-11東崙門市,104台北市中山區八德路二段282號,A000256,廖培雁,(02)27478711,3961,,連鎖型綠色商店
195,7-11東祥門市,100台北市中正區貴陽街一段56號B1,A000253,廖培雁,(02)27478711,3961,,連鎖型綠色商店
196,7-11東華門市,112台北市北投區裕民一路40巷1號,A000212,廖培雁,(02)27478711,3961,,連鎖型綠色商店
197,7-11東勢門市,105台北市松山區南京東路4段131號,A000394,廖培雁,(02)27478711,3961,,連鎖型綠色商店
198,7-11東暉門市,110台北市信義區忠孝東路4段514號,A000495,廖培雁,(02)27478711,3961,,連鎖型綠色商店
199,7-11東榮門市,105台北市松山區民生東路5段65號,A000272,廖培雁,(02)27478711,3961,,連鎖型綠色商店
200,7-11東鑫門市,105台北市松山區民生東路4段55巷10號,A000795,廖培雁,(02)27478711,3961,,連鎖型綠色商店
201,7-11林北門市,104台北市中山區林森北路362號,A000616,廖培雁,(02)27478711,3961,,連鎖型綠色商店
202,7-11林安門市,104台北市中山區林森北路572號,A000811,廖培雁,(02)27478711,3961,,連鎖型綠色商店
203,7-11林坊門市,115台北市南港區東新街80巷1號,A000812,廖培雁,(02)27478711,3961,,連鎖型綠色商店
204,7-11林森門市,104台北市中山區林森北路500號,A000228,廖培雁,(02)27478711,3961,,連鎖型綠色商店
205,7-11松山門市,110台北市信義區忠孝東路5段386號,A000630,廖培雁,(02)27478711,3961,,連鎖型綠色商店
206,7-11松仁門市,110台北市信義區松仁路213號,A000360,廖培雁,(02)27478711,3961,,連鎖型綠色商店
207,7-11松民門市,105台北市松山區三民路10號,A000871,廖培雁,(02)27478711,3961,,連鎖型綠色商店
208,7-11松禾門市,105台北市松山區塔悠路31.33號,A000900,廖培雁,(02)27478711,3961,,連鎖型綠色商店
209,7-11松信門市,110台北市信義區文藝里永吉路180巷67弄5號,A000492,廖培雁,(02)27478711,3961,,連鎖型綠色商店
210,7-11松家門市,110台北市信義區松山路604號,A000276,廖培雁,(02)27478711,3961,,連鎖型綠色商店
211,7-11松高門市,110台北市信義區基隆路一段135-2號,A000686,廖培雁,(02)27478711,3961,,連鎖型綠色商店
212,7-11松捷門市,110台北市信義區忠孝東路五段1之6號,A000596,廖培雁,(02)27478711,3961,,連鎖型綠色商店
213,7-11松盛門市,104台北市中山區南京東路二段115巷1號,A000374,廖培雁,(02)27478711,3961,,連鎖型綠色商店
214,7-11松智門市,110台北市信義區莊敬路325巷43號,A000493,廖培雁,(02)27478711,3961,,連鎖型綠色商店
215,7-11松隆門市,110台北市信義區松隆路286號,A000593,廖培雁,(02)27478711,3961,,連鎖型綠色商店
216,7-11松義門市,110台北市信義區松德路271號,A000807,廖培雁,(02)27478711,3961,,連鎖型綠色商店
217,7-11松運門市,104台北市中山區松江路101號,A000733,廖培雁,(02)27478711,3961,,連鎖型綠色商店
218,7-11松錢門市,110台北市信義區松隆路159巷1號,A000277,廖培雁,(02)27478711,3961,,連鎖型綠色商店
219,7-11松錦門市,104台北市中山區松江路305號.,A000586,廖培雁,(02)27478711,3961,,連鎖型綠色商店
220,7-11松饒門市,105台北市松山區慈祐里八德路4段767.769號.,A000248,廖培雁,(02)27478711,3961,,連鎖型綠色商店
221,7-11松鑫門市,104台北市中山區松江路208號,A000881,廖培雁,(02)27478711,3961,,連鎖型綠色商店
222,7-11松鑽門市,105台北市松山區八德路四段686號,A000814,廖培雁,(02)27478711,3961,,連鎖型綠色商店
223,7-11欣安和門市,106台北市大安區安和路一段47號,A000862,廖培雁,(02)27478711,3961,,連鎖型綠色商店
224,7-11欣旺門市,104台北市中山區北安路604.606號,A000416,廖培雁,(02)27478711,3961,,連鎖型綠色商店
225,7-11欣漢華門市,100台北市中正區中華路一段41號1樓,A000875,廖培雁,(02)27478711,3961,,連鎖型綠色商店
226,7-11欣福門市,114台北市內湖區民權東路6段120巷7弄8號,A000372,廖培雁,(02)27478711,3961,,連鎖型綠色商店
227,7-11直安門市,104台北市中山區北安路649號,A000227,廖培雁,(02)27478711,3961,,連鎖型綠色商店
228,7-11知心門市,112台北市北投區知行路201巷1號,A000328,廖培雁,(02)27478711,3961,,連鎖型綠色商店
229,7-11社中門市,111台北市士林區社中街311-313號,A000879,廖培雁,(02)27478711,3961,,連鎖型綠色商店
230,7-11社鑽門市,111台北市士林區中正路637號,A000424,廖培雁,(02)27478711,3961,,連鎖型綠色商店
231,7-11芝山門市,112台北市士林區福華路128巷2號,A000335,廖培雁,(02)27478711,3961,,連鎖型綠色商店
232,7-11芝玉門市,112台北市士林區忠義街121號,A000649,廖培雁,(02)27478711,3961,,連鎖型綠色商店
233,7-11芙蓉門市,106台北市大安區仁愛路三段94號,A000761,廖培雁,(02)27478711,3961,,連鎖型綠色商店
